HS코드,MTI코드
101900000,21190
104101000,21190
104109000,21190
104201000,21190
104209000,21190
106141000,21190
106149000,21190
106191000,21190
106193000,21190
105111000,21210
105119000,21210
105941000,21210
105949000,21210
105131000,21220
105139000,21220
105991010,21220
105991090,21220
105120000,21230
105992000,21230
105140000,21290
105150000,21290
105999000,21290
106110000,21900
106121000,21900
106122000,21900
106130000,21900
106194000,21900
106195010,21900
106195090,21900
106196010,21900
106196090,21900
106199000,21900
106201000,21900
106202000,21900
106203000,21900
106209000,21900
106310000,21900
106320000,21900
106330000,21900
106390000,21900
106410000,21900
106411000,21900
106419000,21900
106490000,21900
106901000,21900
106903090,21900
106909000,21900
201100000,22110
201200000,22110
201201000,22110
201209000,22110
201300000,22110
202100000,22110
202200000,22110
202201000,22110
202209000,22110
202300000,22110
206100000,22110
206210000,22110
206220000,22110
206291000,22110
206292000,22110
206299000,22110
210201000,22110
210209000,22110
210991010,22110
1602501000,22110
1602509000,22110
203110000,22120
203120000,22120
203191000,22120
203199000,22120
203210000,22120
203220000,22120
203291000,22120
203299000,22120
206300000,22120
206410000,22120
206491000,22120
206499000,22120
209001000,22120
209100000,22120
210110000,22120
210120000,22120
210190000,22120
210991020,22120
1602411000,22120
1602419000,22120
1602421000,22120
1602429000,22120
4412991049,31310
4412992010,31310
4412992090,31310
4412993010,31310
4412993090,31310
4412994100,31310
4412994911,31310
4412994919,31310
4412994991,31310
4412994999,31310
4412995100,31310
4412995911,31310
4412995919,31310
4412995991,31310
4412995999,31310
4412996100,31310
303895010,41200
303895020,41200
303895090,41200
302693000,41300
302892000,41300
303793000,41300
303892000,41300
302550000,41400
302691000,41400
303670000,41400
303791000,41400
301998000,41500
302210000,41500
302240000,41500
303310000,41500
303340000,41500
302220000,41600
303320000,41600
302510000,41700
302530000,41700
302540000,41700
303520000,41700
303630000,41700
303650000,41700
303660000,41700
303891000,41700
301921000,41800
301922000,41800
301929000,41800
301929010,41800
301929090,41800
302740000,41800
303260000,41800
301102000,41900
1602491000,22120
1602499000,22120
204100000,22130
204210000,22130
204220000,22130
204230000,22130
204300000,22130
204410000,22130
204420000,22130
204430000,22130
204500000,22130
204501000,22130
204502000,22130
205000000,22190
205001000,22190
205002000,22190
206800000,22190
206900000,22190
208100000,22190
208600000,22190
208901000,22190
207110000,22210
207111000,22210
207119000,22210
207120000,22210
207121000,22210
207129000,22210
207131000,22210
207131010,22210
207131020,22210
207131030,22210
207131090,22210
207132010,22210
207132090,22210
207141010,22210
207141020,22210
207141030,22210
207141090,22210
207142010,22210
207142090,22210
1602321010,22210
1602321090,22210
