연번,품명,HS부호,품명번호,표준품명_한글,표준품명_영문,규격번호,규격순번,필수규격_한글,필수규격_영문,규격값,세부분류내용,비고,시작일자,만료일자,용도구분
1,노새,101900000,1,노새,Mule,,,,,,,,2013-09-23,2023-12-31,기타세번
2,번식용,102310000,1,번식용,Purebred breeding animals,1,1,,,1, 젖소 및 육우,,2017-02-24,2023-12-31,FTA세율
3,번식용,102901000,1,번식용,Purebred breeding animals,1,1,,,1, 젖소 및 육우,,2017-02-24,2023-12-31,FTA세율
4,기타,105949000,1,기타,Other,1,1,개체당 중량,weight,1," 중량이 2,000그램이하인 것만 해당한다",,2022-01-02,2023-12-31,FTA세율
5,실험용 쥐,106199000,1,실험용 쥐,Mouse for Lab,,,,,,,,2014-12-02,2023-12-31,기타세번
6,도마뱀,106209000,1,도마뱀,Lizard,,,,,,,,2014-12-02,2023-12-31,기타세번
7,초파리,106490000,1,초파리,Drosophila,,,,,,,,2014-12-02,2023-12-31,기타세번
8,거미,106909000,1,거미,Spider,,,,,,,,2013-09-23,2023-12-31,기타세번
9,신선 또는 냉장 뼈 있는 양지 부위,201209000,1,신선 또는 냉장 뼈 있는 양지 부위,Fresh or chilled bovine Brisket,,,,,,,,2014-12-02,2023-12-31,기타세번
10,냉동 뼈 있는 양지 부위,202209000,1,냉동 뼈 있는 양지 부위,Frozen bovine Brisket,,,,,,,,2014-12-02,2023-12-31,기타세번
11,냉동 목살,203299000,1,냉동 목살,Frozen Collar,,,,,,,,2014-12-02,2023-12-31,기타세번
12,냉동 뇌,206299000,1,냉동 뇌,Frozen bovine Brain,,,,,,,,2014-12-02,2023-12-31,기타세번
13,닭발,207142090,1,닭발,Chicken Feet,,,,,,,,2014-12-02,2023-12-31,기타세번
14,개구리다리,208909090,1,개구리다리,Frog Legs,,,,,,,,2014-12-02,2023-12-31,기타세번
15,돼지껍질,210190000,1,돼지껍질,Pork Skin,,,,,,,,2014-12-02,2023-12-31,기타세번
16,물개ㆍ바다사자ㆍ바다코끼리(기각아목의 포유동물)의 것,210922000,1,물개ㆍ바다사자ㆍ바다코끼리(기각아목의 포유동물)의 것,"Of seals, sea lions and walruses(mammals of the suborder Pinnipedia)",1,1,,,1, 육이나 설육(屑肉)의 식용 고운 가루ㆍ거친 가루,,2017-02-24,2023-12-31,FTA세율
17,기타,301119000,1,기타,Other,1,1,품종,type,1, 열대어,,2022-01-02,2023-12-31,FTA세율
18,기타,301190000,1,기타,Other,1,1,품종,type,1, 열대어,,2022-01-02,2023-12-31,FTA세율
19,실뱀장어,301929010,1,실뱀장어(양식용은 제외한다),"Glass eels, other than for aquaculture",,,,,,,,2014-02-01,2023-12-31,
20,민물장어,301929090,1,민물장어,Live River Eels(Anguilla Japonica),1,1,양식여부,Farming,N,자연산,,2014-01-01,2023-12-31,
21,잉어,301939000,1,이스라엘 잉어(향어),Live Israel Carp,,,,,,,,2022-01-01,2023-12-31,유통이력
22,활방어,301992000,1,활방어,Live Yellow tail,,,,,,,,2019-08-01,2023-12-31,유통이력
23,돔,301994099,1,감성돔,Live Black Sea Bream,,,,,,,,2022-01-01,2023-12-31,유통이력
24,활먹장어,301997000,1,활먹장어,Live hagfish,,,,,,,,2018-08-01,2023-12-31,유통이력
25,농어,301999059,1,농어,Live Sea Bass,1,1,양식여부,Farming,N,자연산이면,,2007-06-15,2023-12-31,
26,미꾸라지,301999070,1,미꾸라지,Loaches,,,,,,,,2022-02-24,2023-12-31,기타세번
27,활홍민어,301999095,1,홍민어(점성어),Live Red Drums,1,1,양식여부,Farming,N,자연산,,2007-06-15,2023-12-31,
28,동자개,301999099,1,동자개,Bullhead,,,,,,,,2013-09-23,2023-12-31,기타세번
29,신선냉장대구,302510000,1,신선냉장대구,Fresh or chilled cod,1,1,암수구분,Sex,F,암컷이면,,2012-01-01,2023-12-31,
30,냉장명태,302550000,1,신선냉장명태,Fresh or chilled alaska pollack,1,1,암수구분,Sex,F,암컷이면,,2012-01-01,2023-12-31,
31,냉장명태,302590000,1,신선냉장명태,Fresh or chilled alaska pollack,1,1,암수구분,Sex,F,암컷이면,,2012-01-01,2023-12-31,
32,냉장홍어,302820000,1,냉장홍어,Fresh or chilled skates,,,,,,,,2018-08-01,2023-12-31,유통이력
33,신선 또는 냉장돔,302850000,1,감성돔,"Black sea bream, fresh or chilled",1,1,양식여부,Farming,N,자연산,,2012-01-01,2023-12-31,
34,신선 또는 냉장갈치,302892000,1,신선 또는 냉장갈치,"Hairtail, fresh or chilled",1,1,어획방법,captured,H,채낚기,,2022-01-02,2023-12-31,
35,신선 또는 냉장돔,302896000,1,감성돔,"Black sea bream, fresh or chilled",1,1,양식여부,Farming,N,자연산,,2012-01-01,2023-12-31,
36,복어,302899020,1,검은밀복,"Brownbacked toadfish,Lagocephalus gloveri",1,1,양식여부,Farming,N,자연산이면,,2012-01-01,2023-12-31,
37,신선냉장아귀,302899040,1,신선냉장아귀(원형),Fresh or chilled monkfish(Round),1,1,마리당 평균중량,size,L,2kg~3kg미만,,2012-01-01,2023-12-31,
38,기타,302990000,1,기타,Other,1,1,,,1,,,2017-02-24,2023-12-31,FTA세율
39,은연어,303120000,1,은연어,Coho(Silver) Salmon,,,,,,,,2014-12-02,2023-12-31,기타세번
40,잉어[사이프리너스 카르피오(Cyprinus carpio)ㆍ카라시우스 카라시우스(Carassius carassius)ㆍ크테노파린고돈 이델루스(Ctenopharyngodon idellus)ㆍ하이포프탈미크티스(Hypophthalmichthys)종ㆍ시리누스(Cirrhinus)종ㆍ마일로파린고돈 피세우스(Mylopha,303250000,1,잉어[사이프리너스 카르피오(Cyprinus carpio)ㆍ카라시우스 카라시우스(Carassius carassius)ㆍ크테노파린고돈 이델루스(Ctenopharyngodon idellus)ㆍ하이포프탈미크티스(Hypophthalmichthys)종ㆍ시리누스(Cirrhinus)종ㆍ마일로파린고돈 피세우스(Mylopha,"Carp(Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)",1,1,,,1, 카틀라 카틀라(Catla catla)ㆍ라베오(Labeo)종ㆍ오스테오킬루스 하셀티(Osteochilus hasselti)ㆍ렙토바르부스 호에베니(Leptobarbus hoeveni)ㆍ메갈로브라마(Megalobrama)종의 것,,2017-02-24,2023-12-31,FTA세율
41,냉동꽁치,303592000,1,냉동꽁치(내장제거),Frozen saury(gutted),1,1,포장종류,Package,H,골판지상자,,2017-01-01,2023-12-31,
42,비식용의 냉동 멸치,303599000,1,비식용의 냉동 멸치,Frozen Anchovy(Inedible),,,,,,,,2017-10-01,2023-12-31,
43,냉동명태,303670000,1,냉동명태(내장제거),Frozen alaska pollak(gutted),1,1,포란여부,Roes,N,알이 없는 것,,2012-01-01,2023-12-31,
44,냉동명태,303699000,1,냉동명태(내장제거),Frozen alaska pollak(gutted),1,1,포란여부,Roes,N,알이 없는 것,,2012-01-01,2023-12-31,
45,농어[디센트라르쿠스(Dicentrarchus)종],303840000,1,농어[디센트라르쿠스(Dicentrarchus)종],Sea bass(Dicentrarchus spp),1,1,체형,shape,1, 디센트라르쿠스 라브락스(Dicentrarchus labrax) 또는 디센트라르쿠스 푼크타투스(Dicentrarchus puncta,,2022-01-02,2023-12-31,FTA세율
46,냉동옥돔,303893010,1,냉동옥돔,Red horsehead fish(Branchiostegus Japonicus),,,,,,,,2013-02-01,2023-12-31,
47,옥두어,303893090,1,옥두어,White horsehead Fish,,,,,,,,2013-09-23,2023-12-31,기타세번
48,냉동복어,303898000,1,자주복,Fugu Rubripes Rubripes,,,,,,,,2012-01-01,2023-12-31,
49,냉동민어,303899091,1,기타민어,Other frozen croaker,1,1,양식여부,Farming,N,자연산이면,,2012-01-01,2023-12-31,
50,비식용의 냉동 기름치,303899099,1,비식용의 냉동 기름치,Frozen Oilfish(Inedible),,,,,,,,2017-10-01,2023-12-31,
51,기타,303990000,1,기타,Other,1,1,,,1, 제0303.11.0000호의 것,,2017-02-24,2023-12-31,FTA세율
52,신선 또는 냉장 붕장어피레트,304491000,1,신선 또는 냉장 붕장어피레트,"Fillets of congereel, fresh or chilled",1,1,마리당평균길이,size,L,50cm~60cm미만,,2012-01-01,2023-12-31,
53,연육,304511000,1,연육,Fish surimi,1,1,,,1, 카틀라 카틀라(Catla catla)ㆍ라베오(Labeo)종ㆍ오스테오킬루스 하셀티(Osteochilus hasselti)ㆍ렙토바르부스 호에베니(Leptobarbus hoeveni)ㆍ메갈로브라마(Megalobrama)종의 것,,2017-02-24,2023-12-31,FTA세율
54,기타,304519000,1,기타,Other,1,1,,,1, 카틀라 카틀라(Catla catla)ㆍ라베오(Labeo)종ㆍ오스테오킬루스 하셀티(Osteochilus hasselti)ㆍ렙토바르부스 호에베니(Leptobarbus hoeveni)ㆍ메갈로브라마(Megalobrama)종의 것,,2017-02-24,2023-12-31,FTA세율
55,기타,304690000,1,기타,Other,1,1,,,1, 카틀라 카틀라(Catla catla)ㆍ라베오(Labeo)종ㆍ오스테오킬루스 하셀티(Osteochilus hasselti)ㆍ렙토바르부스 호에베니(Leptobarbus hoeveni)ㆍ메갈로브라마(Megalobrama)종의 것,,2017-02-24,2023-12-31,FTA세율
56,기타,304790000,1,기타,Other,1,1,,,1, 명태[테라그라 찰코그라마(Theragra chalcogramma)는 제외한다],,2017-02-24,2023-12-31,FTA세율
57,눈다랑어의 것,304879000,1,눈다랑어의 것,Frozen Bigeye Tuna Fillet,,,,,,,,2013-09-23,2023-12-31,기타세번
58,달고기,304899000,1,달고기,Frozen John Dory Fillet,,,,,,,,2013-09-23,2023-12-31,기타세번
59,기타,304939000,1,기타,Other,1,1,,,1, 카틀라 카틀라(Catla catla)ㆍ라베오(Labeo)종ㆍ오스테오킬루스 하셀티(Osteochilus hasselti)ㆍ렙토바르부스 호에베니(Leptobarbus hoeveni)ㆍ메갈로브라마(Megalobrama)종의 것,,2017-02-24,2023-12-31,FTA세율
60,냉동 연육,304991000,1,냉동 연육,Frozen fish surimi,1,1,품종,type,1, 명태[테라그라 찰코그라마(Theragra chalcogramma)는 제외한다]의 것,,2022-01-02,2023-12-31,FTA세율
61,기타,304999000,1,기타,Other,1,1,품종,type,1, 명태[테라그라 찰코그라마(Theragra chalcogramma)는 제외한다]의 것,,2022-01-02,2023-12-31,FTA세율
62,건조한 것,305311000,1,건조한 것,Dried,1,1,,,1, 카틀라 카틀라(Catla catla)ㆍ라베오(Labeo)종ㆍ오스테오킬루스 하셀티(Osteochilus hasselti)ㆍ렙토바르부스 호에베니(Leptobarbus hoeveni)ㆍ메갈로브라마(Megalobrama)종의 것,,2017-02-24,2023-12-31,FTA세율
63,가다랑어,305499000,1,가다랑어,Dried Smoked Skipjack,,,,,,,,2014-12-02,2023-12-31,기타세번
64,건대구,305510000,1,건대구(통대구),"Dried cod, whole",1,1,마리당평균길이,size,L,50cm~57cm미만,,2007-07-16,2023-12-31,
65,밴댕이,305599000,1,밴댕이,Dried Big Eyed Herring,,,,,,,,2013-09-23,2023-12-31,기타세번
66,"틸라피아[오레오크로미스(Oreochromis)종], 메기[판가시우스(Pangasius)종ㆍ실루러스(Silurus)종ㆍ클라리아스(Clarias)종ㆍ익타루러스(Ictalurus)종], 잉어[사이프리너스 카르피오(Cyprinus carpio)ㆍ카라시우스 카라시우스(Carassius carassius)ㆍ크테",305640000,1,"틸라피아[오레오크로미스(Oreochromis)종], 메기[판가시우스(Pangasius)종ㆍ실루러스(Silurus)종ㆍ클라리아스(Clarias)종ㆍ익타루러스(Ictalurus)종], 잉어[사이프리너스 카르피오(Cyprinus carpio)ㆍ카라시우스 카라시우스(Carassius carassius)ㆍ크테","Tilapias(Oreochromis spp.), catfish(Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp(Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels(Anguilla spp.), Nile perch(Lates niloticus) and snakeheads(Ch  ",1,1,,,1, 카틀라 카틀라(Catla catla)ㆍ라베오(Labeo)종ㆍ오스테오킬루스 하셀티(Osteochilus hasselti)ㆍ렙토바르부스 호에베니(Leptobarbus hoeveni)ㆍ메갈로브라마(Megalobrama)종의 것,,2017-02-24,2023-12-31,FTA세율
67,건대구,305790000,1,건대구(대구채),"Dried cod, shredded",1,1,색도,Color,DY,검황색,,2012-01-01,2023-12-31,
68,훈제한 것,306111000,1,훈제한 것,Smoked,1,1,,,1, 밀폐용기에 넣은 것,,2017-02-24,2023-12-31,FTA세율
69,냉동가재 (자숙),306129000,1,냉동가재 (자숙),Frozen Boiled Lobster,,,,,,,,2014-12-02,2023-12-31,기타세번
70,삶은 꽃게(절단한 것을 포함한다),306143090,1,삶은 꽃게(절단한 것을 포함한다),Frozen Boiled Swimming Crab,,,,,,,,2013-09-23,2023-12-31,기타세번
71,기타,306149090,1,기타,Other,1,1,품종,type,1, 던진니스 크랩,,2022-01-02,2023-12-31,FTA세율
72,훈제한 것,306151000,1,훈제한 것,Smoked,1,1,,,1, 밀폐용기에 넣은 것,,2017-02-24,2023-12-31,FTA세율
73,훈제한 것,306161010,1,훈제한 것,Smoked,1,1,포장,package,1, 밀폐용기에 넣은 것,,2022-01-02,2023-12-31,FTA세율
74,냉동새우살,306161090,1,기타,Other peeled shrimps,1,1,양식여부,Farming,N,자연산이면,,2012-01-01,2023-12-31,
75,훈제한 것,306169010,1,훈제한 것,Smoked,1,1,포장,package,1, 밀폐용기에 넣은 것,,2022-01-02,2023-12-31,FTA세율
76,기타,306169090,1,기타,Other,1,1,품종,type,1, 북쪽분홍새우 종류,,2022-01-02,2023-12-31,FTA세율
